doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.1016/j.jacc.2017.01.015,,Sharma,2018,JACC,dausin2026,01_Sharma_JACC_2018.pdf,,sungjun,2026-06-05
,,DeBosscher,2022,ProHeart,dausin2026,03_DeBosscher_ProHeart_2022.pdf,,sungjun,2026-06-05
,,LaGerche,2012,RV,dausin2026,04_LaGerche_RV_2012.pdf,,sungjun,2026-06-05
10.1161/circulationaha.116.018093,,Wasfy,2016,Circulation,dausin2026,05_Wasfy_Circulation_2016.pdf,,sungjun,2026-06-05
,,DeBosscher,2023,Coronary,dausin2026,06_DeBosscher_Coronary_2023.pdf,,sungjun,2026-06-05
10.1016/j.jcmg.2017.09.016,,Tahir,2018,JACCImaging,dausin2026,07_Tahir_JACCImaging_2018.pdf,,sungjun,2026-06-05
,,Dausin,2023,TrainingLoad,dausin2026,08_Dausin_TrainingLoad_2023.pdf,,sungjun,2026-06-05
,,Duking,2016,Wearables,dausin2026,10_Duking_Wearables_2016.pdf,,sungjun,2026-06-05
,,DeBosscher,2023,ReducedEF,dausin2026,12_DeBosscher_ReducedEF_2023.pdf,,sungjun,2026-06-05
,,Claessen,2021,AF,dausin2026,13_Claessen_AF_2021.pdf,,sungjun,2026-06-05
,,Claessen,2021,MasterHeart,dausin2026,14_Claessen_MasterHeart_2021.pdf,,sungjun,2026-06-05
,,SchulzMenger,2020,SCMR,dausin2026,15_SchulzMenger_SCMR_2020.pdf,,sungjun,2026-06-05
10.1152/ajpheart.00054.2009,,Manzi,2009,AJPHeart,dausin2026,16_Manzi_AJPHeart_2009.pdf,,sungjun,2026-06-05
10.1186/1471-2105-7-123,,Motulsky,2006,ROUT,dausin2026,18_Motulsky_ROUT_2006.pdf,,sungjun,2026-06-05
10.33448/rsd-v9i10.9259,Wear a mask to reduce COVID-19 transmission while exercising at the gym: belief or evidence-based?,Anderson Luiz Bezerra da Silveira,2020,Research Society and Development,hargreaves2020,2020_Anderson-Luiz-Bezerra-da-Silveira_W3095283456.pdf,diamond,team,2026-06-05
10.3390/jcm9113527,Evidence of Mitochondrial Dysfunction in Fibromyalgia: Deviating Muscle Energy Metabolism Detected Using Microdialysis and Magnetic Resonance,Björn Gerdle,2020,Journal of Clinical Medicine,hargreaves2020,2020_Bj-rn-Gerdle_W3095624392.pdf,gold,team,2026-06-05
10.3390/healthcare8040548,The Effect of Spinal Manipulation on the Electrophysiological and Metabolic Properties of the Tibialis Anterior Muscle,Imran Khan Niazi,2020,Healthcare,hargreaves2020,2020_Imran-Khan-Niazi_W3113183155.pdf,gold,team,2026-06-05
10.3389/fphys.2020.585137,Effect of Fat Mass Localization on Fat Oxidation During Endurance Exercise in Women,Laurie Isacco,2020,Frontiers in Physiology,hargreaves2020,2020_Laurie-Isacco_W3093810146.pdf,gold,team,2026-06-05
10.1152/ajpcell.00461.2020,An exploration of the role of exercise in modulating breast cancer progression in vitro: a systematic review and meta-analysis,Marie-Juliet Brown,2020,American Journal of Physiology-Cell Physiology,hargreaves2020,2020_Marie-Juliet-Brown_W3114470193.pdf,green,team,2026-06-05
10.3390/biom11010040,From Prevention to Disease Perturbations: A Multi-Omic Assessment of Exercise and Myocardial Infarctions,Melanie T. Odenkirk,2020,Biomolecules,hargreaves2020,2020_Melanie-T-Odenkirk_W3116890104.pdf,gold,team,2026-06-05
10.1101/2020.08.31.275644,A deeply conserved miR-1 dependent regulon supports muscle cell physiology,Paula Gutiérrez‐Pérez,2020,bioRxiv (Cold Spring Harbor Laboratory),hargreaves2020,2020_Paula-Guti-rrez-P-rez_W3081612734.pdf,green,team,2026-06-05
10.58837/chula.the.2020.1001,ผลของการฝกออกกำลงกายแบบแอโรบกสลบชวงประกอบนำหนกตอองคประกอบของรางกายและการทำงานของหลอดเลอดในผทมภาวะอวนรนแรง,ธันยากานต์ วรเศรษฐวัฒน์,2020,,hargreaves2020,2020__W4367054180.pdf,gold,team,2026-06-05
10.3390/medicina57010066,Obesity as a Neuroendocrine Reprogramming,Abdelaziz Ghanemi,2021,Medicina,hargreaves2020,2021_Abdelaziz-Ghanemi_W3120470947.pdf,gold,team,2026-06-05
10.3390/ijerph18094963,Regulation of Energy Substrate Metabolism in Endurance Exercise,Abdullah F. Alghannam,2021,International Journal of Environmental Research and Public Health,hargreaves2020,2021_Abdullah-F-Alghannam_W3159933130.pdf,gold,team,2026-06-05
10.3390/genes12111655,A Quantitative Proteomics Approach to Gain Insight into NRF2-KEAP1 Skeletal Muscle System and Its Cysteine Redox Regulation,Abu Rafay,2021,Genes,hargreaves2020,2021_Abu-Rafay_W3205028755.pdf,gold,team,2026-06-05
10.3390/ijms22179327,Exploring the Role of Skeletal Muscle in Insulin Resistance: Lessons from Cultured Cells to Animal Models,Alessandra Feraco,2021,International Journal of Molecular Sciences,hargreaves2020,2021_Alessandra-Feraco_W3198913911.pdf,gold,team,2026-06-05
10.3390/metabo11080517,Metabolic Remodeling in Skeletal Muscle Atrophy as a Therapeutic Target,Alessandra Renzini,2021,Metabolites,hargreaves2020,2021_Alessandra-Renzini_W3189938744.pdf,gold,team,2026-06-05
10.1186/s12970-021-00434-4,Effects of two different doses of carbohydrate ingestion on taekwondo-related performance during a simulated tournament,Alireza Naderi,2021,Journal of the International Society of Sports Nutrition,hargreaves2020,2021_Alireza-Naderi_W3165432475.pdf,gold,team,2026-06-05
10.1101/2021.12.10.471761,Urine proteomics as a non-invasive approach to monitor exertional rhabdomyolysis during military training,Andréia Carneiro,2021,bioRxiv (Cold Spring Harbor Laboratory),hargreaves2020,2021_Andr-ia-Carneiro_W4200598444.pdf,green,team,2026-06-05
10.3390/nu13020491,Efficacy of Popular Diets Applied by Endurance Athletes on Sports Performance: Beneficial or Detrimental? A Narrative Review,Aslı Devrim-Lanpir,2021,Nutrients,hargreaves2020,2021_Asl-Devrim-Lanpir_W3126904135.pdf,gold,team,2026-06-05
10.20463/pan.2021.0024,Systematic analysis of the pharmacological function of Schisandra as a potential exercise supplement,Bok Sil Hong,2021,Physical Activity and Nutrition,hargreaves2020,2021_Bok-Sil-Hong_W4207006649.pdf,diamond,team,2026-06-05
10.3390/nu13124223,Meta-Analysis of Carbohydrate Solution Intake during Prolonged Exercise in Adults: From the Last 45+ Years’ Perspective,Dimitrios I. Bourdas,2021,Nutrients,hargreaves2020,2021_Bourdas_W3216112038.pdf,gold,team,2026-06-05
10.1113/ep088188,Nutritional approaches to counter performance constraints in high‐level sports competition,Louise M. Burke,2021,Experimental Physiology,hargreaves2020,2021_Burke_W3214234730.pdf,hybrid,team,2026-06-05
10.3389/fresc.2021.732342,Physiological Considerations to Support Podium Performance in Para-Athletes,Cameron M. Gee,2021,Frontiers in Rehabilitation Sciences,hargreaves2020,2021_Cameron-M-Gee_W3213285893.pdf,gold,team,2026-06-05
10.33233/rbfex.v20i3.4390,Respostas metabólicas e inflamatórias agudas em homens ativos submetidos ao treinamento corretivo postural,Carla Nascimento dos Santos Rodrigues,2021,Revista Brasileira de Fisiologia do Exercício,hargreaves2020,2021_Carla-Nascimento-dos-Santos-Rodrigues_W3207949586.pdf,diamond,team,2026-06-05
10.33915/etd.10195,Mechanisms and Therapeutic Interventions for Breast Cancer-Induced Fatigue and Mitochondrial Dysfunction,David Andrew Stanton,2021,,hargreaves2020,2021_David-Andrew-Stanton_W4205853206.pdf,gold,team,2026-06-05
10.3390/ijms222312873,Comparative Metabolomic Study of Drosophila Species with Different Lifespans,Dmitry L. Maslov,2021,International Journal of Molecular Sciences,hargreaves2020,2021_Dmitry-L-Maslov_W3217552704.pdf,gold,team,2026-06-05
10.3390/healthcare9030249,Effects of Individualized Low-Intensity Exercise and Its Duration on Recovery Ability in Adults,Doowon Lee,2021,Healthcare,hargreaves2020,2021_Doowon-Lee_W3135597186.pdf,gold,team,2026-06-05
10.15293/2658-6762.2103,,E Pushkareva,2021,Science for Education Today,hargreaves2020,2021_E-Pushkareva_W4242036416.pdf,diamond,team,2026-06-05
10.1038/s41598-021-97364-7,Acute melatonin administration improves exercise tolerance and the metabolic recovery after exhaustive effort,Vinícius Silva Faria,2021,Scientific Reports,hargreaves2020,2021_Faria_W3202629892.pdf,gold,team,2026-06-05
10.3389/fneur.2021.658178,Pediatric Paroxysmal Exercise-Induced Neurological Symptoms: Clinical Spectrum and Diagnostic Algorithm,Federica Rachele Danti,2021,Frontiers in Neurology,hargreaves2020,2021_Federica-Rachele-Danti_W3168492832.pdf,gold,team,2026-06-05
10.3390/ijms22168734,The Importance of Lipidomic Approach for Mapping and Exploring the Molecular Networks Underlying Physical Exercise: A Systematic Review,Francesca Latino,2021,International Journal of Molecular Sciences,hargreaves2020,2021_Francesca-Latino_W3194763808.pdf,gold,team,2026-06-05
10.1172/jci.insight.149217,A map of metabolic phenotypes in patients with myalgic encephalomyelitis/chronic fatigue syndrome,Fredrik Hoel,2021,JCI Insight,hargreaves2020,2021_Fredrik-Hoel_W3193631901.pdf,gold,team,2026-06-05
10.3390/biom11060786,From the Identification to the Dissection of the Physiological Role of the Mitochondrial Calcium Uniporter: An Ongoing Story,Giorgia Pallafacchina,2021,Biomolecules,hargreaves2020,2021_Giorgia-Pallafacchina_W3165650863.pdf,gold,team,2026-06-05
10.11606/d.17.2021.tde-04102021-161249,Efeitos do treinamento combinado em screening global epigenético em mulheres de 50 a 70 anos,Guilherme da Silva Rodrigues,2021,,hargreaves2020,2021_Guilherme-da-Silva-Rodrigues_W3216625132.pdf,gold,team,2026-06-05
10.1126/sciadv.abh1434,miR-1 sustains muscle physiology by controlling V-ATPase complex assembly,Paula Gutiérrez‐Pérez,2021,Science Advances,hargreaves2020,2021_GutiérrezPérez_W3207815369.pdf,gold,team,2026-06-05
10.3390/biomedicines9121847,Hypothetical Mechanism of Exercise-Induced Acute Kidney Injury Associated with Renal Hypouricemia,Makoto Hosoyamada,2021,Biomedicines,hargreaves2020,2021_Hosoyamada_W4200419496.pdf,gold,team,2026-06-05
10.3390/ijerph18136945,Exercise Fat Oxidation Is Positively Associated with Body Fatness in Men with Obesity: Defying the Metabolic Flexibility Paradigm,Isaac A. Chávez-Guevara,2021,International Journal of Environmental Research and Public Health,hargreaves2020,2021_Isaac-A-Ch-vez-Guevara_W3175116440.pdf,gold,team,2026-06-05
10.3390/nu13114097,The Effect of a Single Bout of Exercise on Vitamin B2 Status Is Not Different between High- and Low-Fit Females,Joëlle J. E. Janssen,2021,Nutrients,hargreaves2020,2021_Janssen_W3213837425.pdf,gold,team,2026-06-05
10.11606/t.42.2021.tde-15122022-165457,Efeitos do treinamento físico aeróbio concomitante a restrição calórica no perfil de miocinas.,Jefferson Comin Jonco Aquino Júnior,2021,,hargreaves2020,2021_Jefferson-Comin-Jonco-Aquino-J-nior_W4313524325.pdf,gold,team,2026-06-05
10.1111/eci.13515,Building‐up fit muscles for the future,Jorge Beleza,2021,European Journal of Clinical Investigation,hargreaves2020,2021_Jorge-Beleza_W3126455844.pdf,green,team,2026-06-05
10.3390/molecules26061579,The Oral Administration of Sanguisorba officinalis Extract Improves Physical Performance through LDHA Modulation,Jung Ho Han,2021,Molecules,hargreaves2020,2021_Jung-Ho-Han_W3137523417.pdf,gold,team,2026-06-05
10.1152/japplphysiol.00185.2021,Nitrate-induced improvements in exercise performance are coincident with exuberant changes in metabolic genes and the metabolome in zebrafish (<i>Danio rerio</i>) skeletal muscle,Rosa Keller,2021,Journal of Applied Physiology,hargreaves2020,2021_Keller_W3164725603.pdf,green,team,2026-06-05
